year,month,name,cause,acres,county,longitude,latitude
1969,7,DRY GULTCH ,7 - Arson,6.52851676940918,Mariposa,-119.83902512733322,37.673486875845015
1969,8,BRYAN,14 - Unknown,1061.2843017578123,Monterey,-120.84838933176368,36.118927829831705
1969,8,BASS LAKE ROAD,14 - Unknown,357.8727722167969,El Dorado,-121.02421737613304,38.66914921184997
1969,5,FORBES,14 - Unknown,227.4704132080078,Fresno,-119.35323085495504,36.82742359824128
1969,8,CEDAR RIDGE,14 - Unknown,255.6260986328125,Napa,-122.25755354384485,38.56279511938916
1969,9,WILKINSON,14 - Unknown,1957.80517578125,San Benito,-121.02218503899564,36.67437969393832
1969,8,TELEGRAPH,14 - Unknown,370.7807312011719,San Diego,-117.007300105793,32.633207621561944
1969,11,MOTHER MIGUEL,14 - Unknown,305.156494140625,San Diego,-116.9453180355286,32.671657661949304
1969,9,HONEY #12,14 - Unknown,216.91098022460938,San Diego,-116.79448318873659,32.566980946292425
1969,6,TEAPOT DOME HILL,14 - Unknown,275.32598876953125,Tulare,-118.97344351236772,36.02814980259153
1969,9,LIGHTNING #36,14 - Unknown,4662.0068359375,Madera,-119.83635550642937,37.179979861826936
1969,8,BIDART,14 - Unknown,483.816162109375,San Luis Obispo,-119.56267497886364,35.15149349985121
1969,9,RENO,14 - Unknown,640.7897338867188,Plumas,-120.12332816298628,39.77384289636205
1969,10,RED HILLS,14 - Unknown,232.2464904785156,Calaveras,-120.4944228928415,38.07155697514537
1969,9,PINTO CANYON,14 - Unknown,464.7759399414063,Stanislaus,-121.38993913987959,37.36554061653234
1969,10,KISTLER,14 - Unknown,657.395263671875,Tuolumne,-120.55179944538048,37.832069258166186
1969,8,IOWA HILL,14 - Unknown,464.4059143066406,Placer,-120.91698276099484,39.103066651443896
1969,6,HIGHWAY 4,14 - Unknown,408.2654724121094,Calaveras,-120.64496329803995,37.99514872769522
1969,7,HATLER,14 - Unknown,113.80648803710938,Stanislaus,-120.53332943440228,37.73616182563117
1969,8,CROCKER #60,14 - Unknown,186.0698547363281,San Mateo,-122.42081254503391,37.67333297330414
1969,7,RUDNICK #3,14 - Unknown,972.020263671875,San Luis Obispo,-119.51487933573273,35.021704282620604
1969,7,PAINTED ROCK,14 - Unknown,448.7874450683594,San Luis Obispo,-119.82258361772293,35.11963699950153
1969,7,SPUR 900,1 - Lightning,31.788227081298828,Siskiyou,-121.89322067463422,41.641978744503945
1969,7,DEER PEN,1 - Lightning,8.976592063903809,Siskiyou,-123.1096979015456,41.417230093673545
1969,8,GO,2 - Equipment Use,298.0630187988281,Humboldt,-123.55147753804249,41.408540586633116
1969,7,GROUSE,1 - Lightning,289.163818359375,Humboldt,-123.56707313232063,40.71182136897503
1969,7,SURPRISE,1 - Lightning,24.4776554107666,Trinity,-123.53816475136371,40.77512184331545
1969,7,SIGNAL,1 - Lightning,5.974521636962893,Humboldt,-123.56736244406694,40.328742884854414
1969,9,S AND T RANCH,14 - Unknown,209.5979156494141,Marin,-122.91820583899631,38.27881335160528
1969,7,JUMP,1 - Lightning,2.4895305633544917,Trinity,-123.208854060863,40.13130027869496
1969,1,PUTR PLANTING,14 - Unknown,2581.986572265625,Lassen,-120.24170147481688,40.952658739795574
1969,8,FORT,5 - Debris,2.788193225860596,Trinity,-123.59199170967474,40.88320943994578
1969,9,HAINES,2 - Equipment Use,10.952335357666016,Del Norte,-123.91598555268259,41.75557764631901
1969,6,WHITES HILL SCHOOL,14 - Unknown,61.6879768371582,Marin,-122.61092347811457,38.00616365068301
1969,9,HILL RANCH,14 - Unknown,73.35530090332031,Marin,-122.61321309381249,38.08475143966485
1969,8,MOOSA,9 - Miscellaneous,6944.10791015625,San Diego,-117.12738820003477,33.24181156187596
1969,7,BEAR,1 - Lightning,6.5720787048339835,Humboldt,-123.59980531156462,40.3495255913945
1969,7,RUDNICK #1,14 - Unknown,398.8092651367188,San Luis Obispo,-119.49916194254357,35.04075459776453
1969,8,BLUE MOUNTAIN,14 - Unknown,462.6495056152344,San Bernardino,-117.29012038952517,34.02598096961186
1969,5,PAYNE,14 - Unknown,627.1411743164062,Santa Barbara,-120.40287750602602,34.88278949164455
1969,8,ALLEN,2 - Equipment Use,21.039152145385746,Siskiyou,-123.31955762704254,41.254755982934775
1969,8,LITTLE NORTH FORK,2 - Equipment Use,198.46307373046875,Siskiyou,-123.20063191781605,41.37191905900335
1969,7,AVENAL CANYON,2 - Equipment Use,983.2349243164062,Kings,-120.25318544560696,35.91615732804277
1970,5,TERRACE HILL,14 - Unknown,1847.6214599609373,Riverside,-117.3077155946804,33.76478221780126
1970,3,MEYERS,5 - Debris,12.924039840698242,Tuolumne,-119.99684713342351,37.89715115752668
1970,6,SPRINGS,14 - Unknown,444.8323974609375,Riverside,-117.30877280265186,33.99893835783696
1970,9,LAGUNA,4 - Campfire,174161.546875,San Diego,-116.69914513790228,32.754666210605976
1970,11,RECHE,14 - Unknown,3864.470947265625,Riverside,-117.24750798388706,34.006008304365665
1970,6,FRESNO RIFLE #2,14 - Unknown,793.7808837890625,Fresno,-119.69069808698549,36.922857205906745
1970,7,EL MONTE,8 - Playing with fire,196.3579406738281,San Diego,-116.84346334557851,32.88537023432118
1970,5,JURUPA (RAILROAD #16),14 - Unknown,1157.0262451171875,Riverside,-117.44486873703801,33.99233534241179
1970,5,VIRGINIA,14 - Unknown,1737.2657470703125,Riverside,-117.08366669671324,33.92615638273467
1970,9,C & M,1 - Lightning,56.1939697265625,San Diego,-116.72022859823835,33.06594276643981
